Employee_ID,Expense_Amount,Currency,Category,Description,Date,Approved/Rejected,Vendor,Department,Location,Exact_Duplicate,Near_Duplicate,Anomaly,Suspicious,Fraud_Score
29,92.06,USD,Supplies,Understand official whether share.,2025-09-15,Approved,Vendor_5,HR,EU,False,False,False,False,0
5,724.74,USD,Supplies,Simply election number represent medical the can interest.,2025-08-23,Approved,Vendor_3,Sales,IN,False,False,False,False,0
8,145.01,GBP,Accommodation,Stay doctor indeed half why.,2025-09-19,Approved,Vendor_6,Sales,EU,False,False,False,False,0
4,95.44,USD,Entertainment,While knowledge card hour.,2025-08-16,Approved,Vendor_3,Sales,UK,False,False,False,False,0
32,752.85,USD,Meals,Third interesting fire choice improve program then.,2025-08-13,Rejected,Vendor_2,Finance,IN,False,False,False,False,0
17,437.05,GBP,Travel,Face eight forward require bed company happy lead.,2025-01-11,Rejected,Vendor_1,Sales,IN,False,False,False,False,0
42,825.09,AUD,Accommodation,Debate stop rule western.,2025-07-16,Approved,Vendor_10,Finance,IN,False,False,False,False,0
42,676.74,AUD,Meals,New employee defense hold site can election treatment.,2025-02-04,Rejected,Vendor_9,HR,AU,False,False,False,False,0
45,958.03,EUR,Entertainment,Simply than study in believe show.,2025-04-12,Approved,Vendor_1,HR,EU,False,False,False,False,0
32,735.35,USD,Accommodation,Space lot catch marriage.,2025-02-19,Approved,Vendor_1,HR,EU,False,False,False,False,0
10,472.48,INR,Accommodation,When a available hot look drug including.,2025-05-21,Approved,Vendor_8,HR,IN,False,False,False,False,0
16,161.81,USD,Travel,If although group suddenly bring week soldier investment.,2025-04-01,Approved,Vendor_7,IT,IN,False,False,False,False,0
30,792.76,EUR,Supplies,Pattern young movement break.,2025-02-07,Approved,Vendor_4,IT,IN,False,False,False,False,0
15,905.21,GBP,Entertainment,Star operation manage soldier challenge fish.,2025-01-25,Rejected,Vendor_4,HR,AU,False,False,False,False,0
35,873.79,INR,Supplies,Sign way truth.,2025-07-02,Approved,Vendor_9,HR,AU,False,False,False,False,0
20,18.2,INR,Entertainment,Policy anything analysis thousand should likely.,2025-06-28,Approved,Vendor_4,IT,UK,False,False,False,False,0
49,487.34,USD,Travel,Number school east.,2025-05-18,Approved,Vendor_4,Sales,IN,False,False,False,False,0
43,915.47,AUD,Accommodation,Office figure energy despite.,2025-08-21,Approved,Vendor_3,Sales,USA,False,False,False,False,0
16,991.34,INR,Supplies,Stock as character.,2025-07-22,Approved,Vendor_8,Finance,AU,False,False,False,False,0
2,57.1,AUD,Accommodation,Week sure along move visit politics red he.,2025-01-13,Approved,Vendor_6,Sales,AU,False,False,True,False,1
30,430.63,EUR,Meals,Door actually seek east maintain care wind window.,2025-09-27,Approved,Vendor_5,Finance,USA,False,False,False,False,0
24,377.72,USD,Accommodation,Control whose along.,2025-02-21,Approved,Vendor_10,Sales,USA,False,False,False,False,0
39,747.35,GBP,Supplies,Community wonder lose black eight possible.,2025-01-11,Approved,Vendor_1,IT,UK,False,False,False,False,0
27,262.69,EUR,Entertainment,Receive risk serve system.,2025-02-26,Approved,Vendor_3,Finance,UK,False,False,False,False,0
31,794.09,AUD,Supplies,After hot subject claim stuff change common.,2025-07-07,Approved,Vendor_9,Finance,USA,False,False,False,False,0
27,171.86,AUD,Travel,Doctor role management sometimes past military blue.,2025-04-09,Approved,Vendor_10,IT,EU,False,False,False,False,0
31,750.76,INR,Entertainment,Beautiful memory parent defense bar see city.,2025-06-21,Approved,Vendor_4,HR,UK,False,False,False,False,0
42,321.78,USD,Travel,Hear several movie term set next ahead.,2025-04-07,Approved,Vendor_4,Finance,AU,False,False,False,False,0
25,749.39,EUR,Accommodation,Degree us data these.,2025-08-11,Approved,Vendor_4,Finance,EU,False,False,False,False,0
9,740.69,EUR,Meals,Image institution you business picture before.,2025-07-19,Rejected,Vendor_6,HR,AU,False,False,False,False,0
13,419.78,INR,Travel,Interview manage probably phone state join spend window.,2025-04-06,Approved,Vendor_2,Sales,USA,False,False,False,False,0
38,893.26,EUR,Entertainment,Democratic world them south we democratic support school.,2025-07-24,Approved,Vendor_1,Finance,IN,False,False,False,False,0
42,814.86,EUR,Travel,Even large right idea person difficult brother possible.,2025-08-08,Rejected,Vendor_1,Sales,IN,False,False,False,False,0
32,490.49,USD,Accommodation,Rule garden cold whom entire audience see.,2025-01-12,Approved,Vendor_8,Sales,UK,False,False,False,False,0
4,815.8,GBP,Travel,Player wind try value walk impact science.,2025-02-14,Approved,Vendor_4,Sales,AU,False,False,False,False,0
20,92.31,AUD,Supplies,Member inside protect close current.,2025-05-28,Approved,Vendor_1,IT,EU,False,False,False,False,0
45,262.09,EUR,Entertainment,Across explain reflect machine learn.,2025-02-06,Approved,Vendor_1,HR,EU,False,False,False,False,0
36,968.36,GBP,Travel,Center base stock about.,2025-07-12,Approved,Vendor_10,Finance,UK,False,False,False,False,0
26,42.7,GBP,Accommodation,Size technology new glass.,2025-09-06,Rejected,Vendor_3,Sales,UK,False,False,False,False,0
39,177.74,INR,Supplies,Know imagine itself.,2025-09-22,Approved,Vendor_5,HR,IN,False,False,False,False,0
42,184.98,INR,Meals,Feel each prepare commercial site meeting wear.,2025-09-20,Approved,Vendor_9,IT,USA,False,False,False,False,0
23,563.57,INR,Supplies,Then adult catch doctor the skill.,2025-04-29,Rejected,Vendor_9,Finance,IN,False,False,False,False,0
19,718.58,EUR,Entertainment,Response serve interest could.,2025-04-27,Approved,Vendor_4,Finance,UK,False,False,False,False,0
42,955.47,EUR,Meals,Spend PM quality lay voice.,2025-06-23,Rejected,Vendor_10,Finance,AU,False,False,False,False,0
1,788.92,EUR,Supplies,Teach simply reduce produce country never.,2025-05-28,Rejected,Vendor_5,Finance,AU,False,False,True,False,1
44,235.4,USD,Supplies,Beat else five.,2025-08-31,Approved,Vendor_3,Sales,AU,False,False,False,False,0
39,376.6,GBP,Supplies,Bar prevent policy walk.,2025-01-11,Rejected,Vendor_9,Sales,EU,False,False,False,False,0
43,770.29,USD,Accommodation,Rock government theory worry.,2025-01-11,Approved,Vendor_1,Sales,UK,False,False,False,False,0
2,269.0,AUD,Meals,Perhaps part nice Republican who memory easy.,2025-04-03,Approved,Vendor_10,IT,EU,False,False,False,False,0
47,78.42,EUR,Supplies,Firm type window attorney station.,2025-05-29,Approved,Vendor_4,Sales,IN,False,False,True,False,1
24,846.93,GBP,Entertainment,We official artist our edge fine each foot.,2025-01-31,Approved,Vendor_2,Finance,AU,False,False,False,False,0
15,273.81,GBP,Meals,Task across international.,2025-01-23,Rejected,Vendor_7,IT,EU,False,False,False,False,0
26,171.77,AUD,Supplies,Even opportunity door mention significant region.,2025-05-03,Approved,Vendor_7,IT,EU,False,False,False,False,0
16,868.57,GBP,Entertainment,Management certainly cost expect smile similar talk.,2025-01-21,Rejected,Vendor_4,Finance,USA,False,False,False,False,0
9,105.78,USD,Entertainment,Age moment relationship upon no help.,2025-06-10,Approved,Vendor_7,IT,EU,False,False,False,False,0
9,674.85,EUR,Meals,Weight more sister.,2025-02-26,Approved,Vendor_9,Sales,AU,False,False,False,False,0
22,604.42,INR,Accommodation,Stay reality mean single glass religious.,2025-02-20,Approved,Vendor_4,IT,USA,False,False,False,False,0
31,681.51,EUR,Entertainment,Candidate physical story foreign course add.,2025-09-11,Approved,Vendor_7,IT,USA,False,False,False,False,0
5,145.59,USD,Travel,Stay bad feeling write month central.,2025-05-02,Approved,Vendor_9,Sales,AU,False,False,False,False,0
50,896.42,AUD,Travel,Campaign do other determine.,2025-01-22,Approved,Vendor_7,IT,UK,False,False,True,False,1
48,427.56,EUR,Travel,Message total film standard carry audience quality.,2025-03-23,Approved,Vendor_3,IT,EU,False,False,False,False,0
45,813.41,GBP,Travel,Reduce question bit.,2025-02-24,Approved,Vendor_1,Sales,EU,False,False,False,False,0
21,736.76,USD,Entertainment,Debate piece remember film whether.,2025-03-30,Approved,Vendor_7,Sales,EU,False,False,False,False,0
10,637.0,INR,Travel,Artist myself image.,2025-09-06,Approved,Vendor_8,Sales,IN,False,False,False,False,0
24,875.65,USD,Supplies,Court discuss beautiful here.,2025-01-07,Rejected,Vendor_8,Finance,UK,False,False,False,False,0
49,645.62,EUR,Supplies,Democratic act music remember imagine everybody western drop.,2025-05-26,Approved,Vendor_7,IT,EU,False,False,False,False,0
13,60.51,AUD,Accommodation,Policy design put day production boy.,2025-02-25,Approved,Vendor_3,Finance,UK,False,False,False,False,0
38,940.82,GBP,Travel,Use someone nation half prove.,2025-06-03,Rejected,Vendor_10,Sales,IN,False,False,False,False,0
19,71.65,EUR,Supplies,Only room during bank.,2025-07-09,Approved,Vendor_7,IT,UK,False,False,False,False,0
34,372.26,INR,Meals,And traditional have scene herself player democratic.,2025-03-06,Approved,Vendor_8,Sales,EU,False,False,False,False,0
5,274.29,INR,Travel,Out series black early animal anything.,2025-06-08,Approved,Vendor_1,Sales,USA,False,False,False,False,0
20,879.03,INR,Meals,Impact tend whose model difficult central.,2025-08-22,Approved,Vendor_10,Sales,USA,False,False,False,False,0
31,30.37,GBP,Meals,Determine there bad value wind wife.,2025-08-11,Approved,Vendor_2,HR,AU,False,False,False,False,0
2,310.5,EUR,Meals,Tell far yet receive could would society.,2025-09-06,Approved,Vendor_1,HR,AU,False,False,False,False,0
11,350.34,AUD,Travel,Increase put ground act need instead.,2025-01-31,Rejected,Vendor_1,Sales,USA,False,False,False,False,0
6,695.36,INR,Entertainment,Them sport seem Congress nor.,2025-01-23,Approved,Vendor_7,HR,IN,False,False,False,False,0
34,245.87,EUR,Supplies,Control around key into without present rich off.,2025-06-06,Rejected,Vendor_2,HR,IN,False,False,False,False,0
46,327.77,USD,Meals,School assume prevent top fact partner artist particular.,2025-06-18,Approved,Vendor_7,Finance,IN,False,False,False,False,0
27,814.37,EUR,Supplies,Ability he age ahead spring.,2025-07-26,Approved,Vendor_10,Sales,UK,False,False,False,False,0
40,845.46,INR,Entertainment,Evidence throughout again raise strong focus.,2025-07-01,Approved,Vendor_3,IT,UK,False,False,False,False,0
33,857.26,AUD,Meals,Work make hope civil.,2025-01-30,Approved,Vendor_5,Sales,UK,False,False,False,False,0
15,422.28,EUR,Entertainment,Small reason report dark process forward.,2025-01-17,Approved,Vendor_5,Sales,EU,False,False,False,False,0
3,452.98,GBP,Entertainment,Network discuss her action set.,2025-05-14,Approved,Vendor_9,IT,AU,False,False,False,False,0
43,177.99,AUD,Travel,Address tax interview continue.,2025-06-13,Approved,Vendor_6,IT,IN,False,False,False,False,0
48,819.36,AUD,Supplies,Against player meet mention successful interview goal less.,2025-09-27,Approved,Vendor_8,Sales,AU,False,False,False,False,0
30,843.06,AUD,Accommodation,Decade center floor garden but experience.,2025-01-12,Approved,Vendor_5,IT,USA,False,False,False,False,0
10,253.31,AUD,Accommodation,Film such something three evening.,2025-07-06,Approved,Vendor_5,Sales,AU,False,False,False,False,0
23,664.92,INR,Supplies,Particular stay recognize treat great both.,2025-08-05,Approved,Vendor_2,Sales,UK,False,False,False,False,0
41,969.02,EUR,Supplies,White staff class section.,2025-04-14,Approved,Vendor_3,Sales,UK,False,False,False,False,0
43,91.06,GBP,Supplies,Those cultural gas structure building individual.,2025-01-31,Approved,Vendor_8,Sales,EU,False,False,False,False,0
49,278.1,AUD,Supplies,Ahead learn establish apply stuff treat.,2025-08-10,Approved,Vendor_3,HR,UK,False,False,False,False,0
2,398.38,INR,Supplies,Whatever cultural keep cultural.,2025-01-16,Approved,Vendor_4,Sales,AU,False,False,False,False,0
38,674.13,USD,Accommodation,Worker foot card bed be discussion nor.,2025-07-01,Approved,Vendor_2,Sales,IN,False,False,False,False,0
25,260.88,EUR,Accommodation,Official body trouble line.,2025-08-10,Approved,Vendor_3,IT,EU,False,False,False,False,0
5,605.24,INR,Entertainment,Particularly similar list.,2025-03-07,Approved,Vendor_1,HR,IN,False,False,False,False,0
4,860.76,USD,Meals,Letter bad consider.,2025-01-13,Approved,Vendor_4,IT,USA,False,False,False,False,0
40,97.56,GBP,Accommodation,President recent speech billion born history.,2025-08-08,Approved,Vendor_4,IT,EU,False,False,False,False,0
20,951.34,AUD,Meals,Ball executive together indicate improve.,2025-05-26,Approved,Vendor_5,IT,AU,False,False,False,False,0
41,945.29,INR,Entertainment,Focus process out up child paper truth.,2025-06-18,Approved,Vendor_9,IT,EU,False,False,False,False,0
28,16.52,GBP,Entertainment,Kitchen head clearly debate word enter.,2025-03-02,Rejected,Vendor_9,Sales,IN,False,False,False,False,0
37,28.86,USD,Entertainment,Decide just really scientist little Congress enter.,2025-01-23,Approved,Vendor_7,IT,EU,False,False,False,False,0
39,260.51,GBP,Meals,Cultural soon window great trade.,2025-05-01,Approved,Vendor_3,Finance,UK,False,False,False,False,0
7,630.45,INR,Meals,Maybe north from room great see vote.,2025-07-07,Approved,Vendor_3,HR,EU,False,False,False,False,0
45,398.41,GBP,Travel,Chair region federal newspaper region food issue list.,2025-07-08,Rejected,Vendor_10,Finance,UK,False,False,False,False,0
35,712.95,INR,Entertainment,Exist type generation suddenly.,2025-03-22,Approved,Vendor_2,IT,USA,False,False,False,False,0
29,683.38,INR,Supplies,Early foot body him surface apply.,2025-04-06,Approved,Vendor_5,Sales,EU,False,False,False,False,0
39,568.09,EUR,Travel,Child the imagine perhaps important give hospital.,2025-02-28,Rejected,Vendor_3,HR,USA,False,False,False,False,0
9,949.37,INR,Travel,Soldier race and perform wonder notice simple.,2025-02-16,Rejected,Vendor_1,Finance,USA,False,False,False,False,0
50,295.74,AUD,Accommodation,Class cost job represent sign suffer account dog.,2025-08-14,Approved,Vendor_3,IT,AU,False,False,False,False,0
44,11.98,EUR,Travel,American carry Democrat black out lot race whatever.,2025-08-21,Approved,Vendor_5,HR,IN,False,False,True,False,1
30,137.94,GBP,Entertainment,Agree window talk reach itself ground.,2025-01-19,Approved,Vendor_9,Finance,USA,False,False,False,False,0
7,45.95,USD,Entertainment,Close already learn hear low record.,2025-08-11,Approved,Vendor_1,IT,IN,False,False,False,False,0
20,989.86,AUD,Meals,Pass decision hair.,2025-08-24,Approved,Vendor_8,IT,EU,False,False,False,False,0
21,906.54,USD,Supplies,Suffer girl determine popular about list news travel.,2025-09-17,Approved,Vendor_1,IT,USA,False,False,False,False,0
33,535.67,AUD,Travel,Stay strong record true already or writer.,2025-04-24,Approved,Vendor_3,Sales,AU,False,False,False,False,0
31,658.1,EUR,Supplies,Prevent environment new visit upon along citizen.,2025-05-25,Approved,Vendor_6,Finance,USA,False,False,False,False,0
25,285.12,INR,Accommodation,Yes image process fine by.,2025-09-27,Rejected,Vendor_5,HR,USA,False,False,False,False,0
20,800.05,GBP,Meals,Local character dark create.,2025-07-19,Approved,Vendor_10,Sales,AU,False,False,False,False,0
22,277.33,USD,Travel,Design prove part practice data.,2025-04-18,Approved,Vendor_7,HR,UK,False,False,False,False,0
21,611.25,INR,Travel,Sport someone nothing night.,2025-01-27,Approved,Vendor_5,HR,UK,False,False,False,False,0
35,334.4,EUR,Meals,Result leg yet pay any ball education.,2025-03-13,Approved,Vendor_3,Sales,UK,False,False,False,False,0
40,32.29,AUD,Entertainment,Turn win current subject issue.,2025-01-11,Rejected,Vendor_2,Finance,AU,False,False,False,False,0
28,209.41,GBP,Accommodation,Though paper rock girl example.,2025-05-17,Approved,Vendor_1,IT,USA,False,False,False,False,0
42,148.47,EUR,Entertainment,Car data forward sort theory method.,2025-04-01,Approved,Vendor_7,Sales,USA,False,False,False,False,0
13,521.6,GBP,Entertainment,Star heart if serious themselves hospital state.,2025-05-04,Approved,Vendor_9,Finance,IN,False,False,False,False,0
10,813.32,USD,Accommodation,Traditional heart speech should hold kind road.,2025-05-04,Rejected,Vendor_2,Finance,EU,False,False,False,False,0
5,999.61,EUR,Entertainment,Smile threat new we enough.,2025-07-23,Approved,Vendor_4,HR,IN,False,False,True,False,1
16,133.11,GBP,Supplies,Skin such site every determine film.,2025-08-25,Approved,Vendor_5,HR,USA,False,False,False,False,0
2,596.07,INR,Accommodation,Rich top although lawyer blue rise change another.,2025-08-08,Approved,Vendor_3,Finance,UK,False,False,False,False,0
50,419.4,USD,Meals,Need research since spring money.,2025-05-30,Rejected,Vendor_7,Finance,UK,False,False,True,False,1
2,477.96,GBP,Entertainment,Water mind rule real capital assume both.,2025-01-22,Approved,Vendor_7,Finance,UK,False,False,False,False,0
44,547.85,GBP,Travel,Environment social any section somebody read.,2025-08-15,Approved,Vendor_6,Finance,USA,False,False,False,False,0
9,389.36,AUD,Travel,Senior image your case glass team.,2025-09-18,Approved,Vendor_7,IT,EU,False,False,False,False,0
9,542.1,EUR,Entertainment,Loss case expert begin interest lay.,2025-08-08,Approved,Vendor_7,Sales,IN,False,False,False,False,0
49,693.16,GBP,Accommodation,Think three I war.,2025-05-21,Rejected,Vendor_9,HR,USA,False,False,False,False,0
8,941.04,EUR,Meals,Hard why apply.,2025-09-01,Approved,Vendor_10,HR,USA,False,False,False,False,0
5,19.12,INR,Meals,Stay but approach live single challenge than.,2025-07-11,Approved,Vendor_8,Sales,UK,False,False,True,False,1
44,549.77,AUD,Entertainment,Quite from responsibility cover billion.,2025-07-24,Approved,Vendor_5,Sales,AU,False,False,False,False,0
21,752.58,AUD,Entertainment,World born play.,2025-09-04,Approved,Vendor_4,Finance,USA,False,False,False,False,0
36,794.84,USD,Entertainment,Cost newspaper dog manage.,2025-01-23,Rejected,Vendor_3,HR,UK,False,False,False,False,0
15,149.53,USD,Meals,Practice draw risk pretty place first near.,2025-06-21,Rejected,Vendor_10,Finance,UK,False,False,False,False,0
48,317.28,GBP,Accommodation,Agreement western church we cover.,2025-03-21,Approved,Vendor_7,HR,EU,False,False,False,False,0
21,551.72,USD,Travel,Foot in year.,2025-07-27,Approved,Vendor_10,HR,UK,False,False,False,False,0
16,455.35,INR,Meals,Per data sign four.,2025-09-01,Approved,Vendor_1,HR,UK,False,False,False,False,0
7,772.74,INR,Meals,Son compare whose image.,2025-07-14,Approved,Vendor_3,Finance,USA,False,False,False,False,0
31,922.97,AUD,Meals,Wait garden church wear behavior.,2025-04-03,Approved,Vendor_6,Sales,EU,False,False,False,False,0
12,994.33,INR,Accommodation,Skill and happen soon manage see.,2025-02-04,Approved,Vendor_9,Sales,AU,False,False,False,False,0
34,676.65,USD,Travel,Something whom other truth room.,2025-09-19,Approved,Vendor_1,IT,USA,False,False,False,False,0
20,193.81,EUR,Supplies,Must easy later player sing here.,2025-05-25,Rejected,Vendor_6,Sales,EU,False,False,False,False,0
23,96.69,USD,Supplies,Name voice management technology move send.,2025-03-07,Approved,Vendor_10,Finance,IN,False,False,False,False,0
19,778.95,AUD,Travel,Against stage factor forward by.,2025-09-24,Approved,Vendor_2,IT,UK,False,False,False,False,0
11,834.77,GBP,Entertainment,Task item ask rather real shake.,2025-08-20,Approved,Vendor_5,HR,IN,False,False,False,False,0
42,433.4,AUD,Accommodation,Hard different serve.,2025-03-17,Approved,Vendor_7,Finance,AU,False,False,False,False,0
4,709.7,AUD,Entertainment,Military behind increase suddenly president size certainly.,2025-08-07,Approved,Vendor_5,HR,AU,False,False,False,False,0
17,484.14,USD,Travel,Fly voice author already stuff American.,2025-03-07,Approved,Vendor_6,IT,EU,False,False,False,False,0
27,210.08,USD,Entertainment,Feeling do least standard western.,2025-09-20,Rejected,Vendor_8,HR,USA,False,False,False,False,0
7,168.7,EUR,Meals,Gas Mrs career political life pass education.,2025-07-30,Rejected,Vendor_8,Sales,USA,False,False,False,False,0
12,713.8,INR,Entertainment,Actually once prove ground too stuff.,2025-09-19,Approved,Vendor_4,HR,UK,False,False,False,False,0
15,997.2,INR,Meals,Study determine respond magazine you prevent rise.,2025-07-22,Rejected,Vendor_5,Finance,IN,False,False,False,False,0
40,818.77,USD,Supplies,Phone explain goal produce difficult as.,2025-07-19,Rejected,Vendor_10,IT,IN,False,False,False,False,0
36,893.26,AUD,Meals,Section others city mission.,2025-06-02,Approved,Vendor_10,IT,IN,False,False,False,False,0
15,350.6,INR,Travel,Character suddenly whom war image our.,2025-09-05,Approved,Vendor_3,HR,EU,False,False,False,False,0
47,12.48,USD,Travel,Structure imagine article responsibility.,2025-04-23,Approved,Vendor_2,Sales,USA,False,False,True,False,1
37,424.65,INR,Meals,Quality risk create suffer bill citizen official as.,2025-02-18,Approved,Vendor_7,Sales,USA,False,False,False,False,0
47,798.24,EUR,Entertainment,Move between onto.,2025-06-07,Rejected,Vendor_8,Sales,IN,False,False,False,False,0
16,879.33,USD,Entertainment,Somebody lead current.,2025-01-28,Rejected,Vendor_8,HR,EU,False,False,False,False,0
14,938.88,INR,Travel,Beautiful source among boy worry.,2025-07-30,Approved,Vendor_6,HR,EU,False,False,False,False,0
35,632.31,USD,Accommodation,Everybody industry than skill beat nation.,2025-05-19,Approved,Vendor_10,IT,EU,False,False,False,False,0
40,66.52,AUD,Supplies,Reason beat around six quite ahead seven.,2025-05-10,Approved,Vendor_1,Finance,AU,False,False,False,False,0
26,103.17,GBP,Accommodation,Kid against important military.,2025-04-20,Rejected,Vendor_2,IT,EU,False,False,False,False,0
48,626.54,INR,Entertainment,Our money large article speech management entire.,2025-09-29,Approved,Vendor_4,HR,EU,False,False,False,False,0
25,686.82,GBP,Travel,Stock enough everything card exist successful off.,2025-08-13,Approved,Vendor_1,Finance,EU,False,False,False,False,0
26,946.82,AUD,Entertainment,Very run teach sort conference.,2025-09-29,Rejected,Vendor_8,Finance,USA,False,False,False,False,0
8,316.56,GBP,Travel,Trouble democratic arrive race.,2025-07-26,Approved,Vendor_4,HR,EU,False,False,False,False,0
50,262.77,GBP,Accommodation,Fear card purpose hot sure successful.,2025-01-07,Approved,Vendor_7,Sales,UK,False,False,False,False,0
9,673.3,GBP,Travel,Operation national wide possible coach value.,2025-03-09,Approved,Vendor_5,Sales,IN,False,False,False,False,0
28,293.85,INR,Supplies,Understand new school American address page behind.,2025-05-10,Approved,Vendor_10,Sales,UK,False,False,False,False,0
38,627.67,INR,Supplies,Couple value smile your production song.,2025-05-26,Approved,Vendor_7,Sales,AU,False,False,False,False,0
30,735.35,GBP,Travel,Lot save computer receive around see few.,2025-09-25,Approved,Vendor_8,Sales,EU,False,False,False,False,0
43,957.44,EUR,Accommodation,Lead card low dark successful.,2025-05-12,Approved,Vendor_8,Sales,AU,False,False,False,False,0
10,150.59,GBP,Travel,Catch military country sound newspaper.,2025-06-24,Approved,Vendor_9,Sales,UK,False,False,False,False,0
47,671.3,GBP,Meals,Would challenge gas land rest they magazine.,2025-02-20,Approved,Vendor_7,HR,AU,False,False,False,False,0
27,898.58,EUR,Entertainment,Senior reality body.,2025-08-02,Rejected,Vendor_1,IT,USA,False,False,False,False,0
38,782.08,GBP,Meals,Serious can present very market.,2025-06-27,Approved,Vendor_4,HR,USA,False,False,False,False,0
49,95.06,EUR,Accommodation,Follow sometimes environment across large.,2025-01-06,Approved,Vendor_1,Finance,AU,False,False,True,False,1
16,783.75,INR,Entertainment,Staff too pick how.,2025-05-17,Rejected,Vendor_6,HR,AU,False,False,False,False,0
33,186.68,USD,Meals,Others these need wish.,2025-05-03,Approved,Vendor_10,HR,IN,False,False,False,False,0
7,157.49,AUD,Meals,Lot sea recently kitchen avoid behind attorney.,2025-08-27,Rejected,Vendor_4,IT,AU,False,False,False,False,0
11,168.93,USD,Meals,Building low pretty opportunity decade certain happy.,2025-04-21,Approved,Vendor_7,IT,EU,False,False,False,False,0
50,705.87,EUR,Travel,School police community.,2025-05-23,Approved,Vendor_7,HR,USA,False,False,True,False,1
28,310.75,EUR,Supplies,One issue oil skill pick soon entire.,2025-01-18,Approved,Vendor_8,Sales,USA,False,False,False,False,0
42,746.31,AUD,Entertainment,Though to billion build quality production management.,2025-06-03,Approved,Vendor_1,HR,UK,False,False,False,False,0
33,305.81,AUD,Supplies,Five clear yard specific between.,2025-06-21,Rejected,Vendor_9,HR,UK,False,False,False,False,0
9,406.51,INR,Travel,Writer style assume pass.,2025-08-20,Rejected,Vendor_6,Finance,EU,False,False,False,False,0
9,86.53,EUR,Travel,True computer improve baby thus white.,2025-06-06,Approved,Vendor_3,IT,EU,False,False,False,False,0
11,544.5,USD,Accommodation,Realize camera question buy arm.,2025-07-20,Approved,Vendor_6,IT,EU,False,False,False,False,0
17,342.95,GBP,Travel,Good product benefit service.,2025-01-18,Approved,Vendor_2,Sales,IN,False,False,False,False,0
28,21.91,INR,Supplies,Near century too kind evening leg.,2025-06-29,Approved,Vendor_3,Sales,IN,False,False,False,False,0
37,758.85,AUD,Entertainment,Finish detail almost thank discuss wide.,2025-04-07,Approved,Vendor_3,Sales,AU,False,False,False,False,0
8,959.04,GBP,Entertainment,Stand large understand third long drive while weight.,2025-03-07,Approved,Vendor_5,IT,AU,False,False,False,False,0
